date,avg_temp_c,avg_quality,avg_homogenization,max_temp_c,max_quality,max_homogenization,min_temp_c,min_quality,min_homogenization,source_file
2026-06-01,25.1,8,1,31.8,8,1,19.4,8,1,jma_tokyo_20260601-0630.csv
2026-06-02,22.4,8,1,25.9,8,1,18.2,8,1,jma_tokyo_20260601-0630.csv
2026-06-03,18.6,8,1,19.8,8,1,17.5,8,1,jma_tokyo_20260601-0630.csv
2026-06-04,20.6,8,1,24.4,8,1,18.2,8,1,jma_tokyo_20260601-0630.csv
2026-06-05,18.5,8,1,21.4,8,1,16.0,8,1,jma_tokyo_20260601-0630.csv
2026-06-06,19.2,8,1,24.7,8,1,15.7,8,1,jma_tokyo_20260601-0630.csv
2026-06-07,18.8,8,1,21.3,8,1,16.0,8,1,jma_tokyo_20260601-0630.csv
2026-06-08,20.2,8,1,23.5,8,1,18.3,8,1,jma_tokyo_20260601-0630.csv
2026-06-09,20.1,8,1,22.7,8,1,18.3,8,1,jma_tokyo_20260601-0630.csv
2026-06-10,20.1,8,1,24.3,8,1,17.6,8,1,jma_tokyo_20260601-0630.csv
2026-06-11,21.4,8,1,26.2,8,1,16.9,8,1,jma_tokyo_20260601-0630.csv
2026-06-12,21.0,8,1,28.1,8,1,17.8,8,1,jma_tokyo_20260601-0630.csv
2026-06-13,22.9,8,1,28.0,8,1,17.7,8,1,jma_tokyo_20260601-0630.csv
2026-06-14,23.3,8,1,27.4,8,1,20.0,8,1,jma_tokyo_20260601-0630.csv
2026-06-15,19.2,8,1,21.6,5,1,17.0,8,1,jma_tokyo_20260601-0630.csv
2026-06-16,21.8,8,1,27.6,8,1,16.1,8,1,jma_tokyo_20260601-0630.csv
2026-06-17,23.1,8,1,28.6,8,1,18.0,8,1,jma_tokyo_20260601-0630.csv
2026-06-18,21.8,8,1,26.2,8,1,19.8,8,1,jma_tokyo_20260601-0630.csv
2026-06-19,24.7,8,1,30.3,8,1,20.0,8,1,jma_tokyo_20260601-0630.csv
2026-06-20,21.6,8,1,24.0,8,1,20.0,8,1,jma_tokyo_20260601-0630.csv
2026-06-21,23.1,8,1,27.1,8,1,20.7,8,1,jma_tokyo_20260601-0630.csv
2026-06-22,22.9,8,1,28.0,8,1,19.5,8,1,jma_tokyo_20260601-0630.csv
2026-06-23,20.7,8,1,24.7,8,1,18.0,8,1,jma_tokyo_20260601-0630.csv
2026-06-24,22.2,8,1,26.6,8,1,18.7,8,1,jma_tokyo_20260601-0630.csv
2026-06-25,20.5,8,1,22.3,8,1,19.8,8,1,jma_tokyo_20260601-0630.csv
2026-06-26,21.7,8,1,24.9,8,1,20.0,8,1,jma_tokyo_20260601-0630.csv
2026-06-27,22.1,8,1,22.8,8,1,20.8,8,1,jma_tokyo_20260601-0630.csv
2026-06-28,21.6,8,1,23.5,8,1,19.8,8,1,jma_tokyo_20260601-0630.csv
2026-06-29,22.4,8,1,27.2,8,1,19.6,8,1,jma_tokyo_20260601-0630.csv
2026-06-30,24.7,8,1,28.7,8,1,21.2,8,1,jma_tokyo_20260601-0630.csv
