ダウンロードした時刻：2026/06/07 17:24:43

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2026/1/1,6.5,8,1,10.3,8,1,3.8,8,1
2026/1/2,4.8,8,1,10.0,8,1,0.5,8,1
2026/1/3,3.7,8,1,8.9,8,1,-0.5,8,1
2026/1/4,6.0,8,1,11.2,8,1,1.2,8,1
2026/1/5,6.7,8,1,12.8,8,1,1.1,8,1
2026/1/6,6.3,8,1,11.0,8,1,3.1,8,1
2026/1/7,3.8,8,1,6.4,8,1,1.2,8,1
2026/1/8,4.7,8,1,11.3,8,1,-0.3,8,1
2026/1/9,6.0,8,1,10.3,8,1,1.7,8,1
2026/1/10,9.3,8,1,14.9,8,1,1.5,8,1
2026/1/11,11.0,8,1,16.1,8,1,4.0,8,1
2026/1/12,4.7,8,1,9.5,8,1,0.0,8,1
2026/1/13,8.3,8,1,16.1,8,1,0.2,8,1
2026/1/14,7.2,8,1,12.0,8,1,3.3,8,1
2026/1/15,8.0,8,1,12.5,8,1,1.7,8,1
2026/1/16,11.3,8,1,17.8,8,1,5.0,8,1
2026/1/17,9.7,8,1,15.3,8,1,5.0,8,1
2026/1/18,9.2,8,1,13.4,8,1,6.1,8,1
2026/1/19,8.7,8,1,13.9,8,1,5.2,8,1
2026/1/20,5.9,8,1,9.1,8,1,2.3,8,1
2026/1/21,3.6,8,1,7.0,8,1,1.8,8,1
2026/1/22,2.5,8,1,6.9,8,1,-0.2,8,1
2026/1/23,3.4,8,1,9.4,8,1,-2.0,8,1
2026/1/24,4.7,8,1,11.0,8,1,-1.3,8,1
2026/1/25,3.7,8,1,7.6,8,1,1.2,8,1
2026/1/26,4.2,8,1,8.6,8,1,-0.9,8,1
2026/1/27,5.4,8,1,10.1,8,1,2.3,8,1
2026/1/28,5.5,8,1,8.1,8,1,2.0,8,1
2026/1/29,4.8,8,1,10.4,8,1,1.1,8,1
2026/1/30,3.9,8,1,9.3,8,1,-0.5,8,1
2026/1/31,4.7,8,1,9.8,8,1,0.9,8,1
2026/2/1,5.5,8,1,11.1,8,1,-0.2,8,1
2026/2/2,6.4,8,1,12.0,8,1,2.7,8,1
2026/2/3,5.8,8,1,10.8,8,1,1.6,8,1
2026/2/4,6.3,8,1,11.4,8,1,1.6,8,1
2026/2/5,7.8,8,1,13.8,8,1,2.7,8,1
2026/2/6,9.0,8,1,16.1,8,1,2.6,8,1
2026/2/7,3.8,8,1,6.9,8,1,1.3,8,1
2026/2/8,-0.7,8,1,2.0,8,1,-2.5,8,1
2026/2/9,2.8,8,1,9.2,8,1,-3.2,8,1
2026/2/10,5.5,8,1,10.9,8,1,0.4,8,1
2026/2/11,6.1,8,1,10.5,8,1,2.7,8,1
2026/2/12,6.7,8,1,11.6,8,1,2.9,8,1
2026/2/13,7.1,8,1,12.6,8,1,1.8,8,1
2026/2/14,9.1,8,1,15.1,8,1,2.9,8,1
2026/2/15,11.9,8,1,18.4,8,1,6.1,8,1
2026/2/16,10.6,8,1,16.7,8,1,4.3,8,1
2026/2/17,5.8,8,1,9.0,8,1,3.1,8,1
2026/2/18,7.6,8,1,12.5,8,1,4.9,8,1
2026/2/19,5.5,8,1,11.1,8,1,2.1,8,1
2026/2/20,5.9,8,1,10.7,8,1,2.0,8,1
2026/2/21,8.8,8,1,15.7,8,1,2.5,8,1
2026/2/22,12.0,8,1,17.6,8,1,5.0,8,1
2026/2/23,17.2,8,1,22.9,8,1,12.2,8,1
2026/2/24,13.4,8,1,18.4,8,1,10.6,8,1
2026/2/25,9.3,8,1,12.2,8,1,5.8,8,1
2026/2/26,8.6,8,1,11.8,8,1,5.4,8,1
2026/2/27,11.8,8,1,16.8,8,1,7.1,8,1
2026/2/28,14.3,8,1,21.7,8,1,10.4,8,1
2026/3/1,12.7,8,1,19.0,8,1,8.3,8,1
2026/3/2,11.4,8,1,13.4,8,1,9.2,8,1
2026/3/3,7.4,8,1,11.4,8,1,4.6,8,1
2026/3/4,8.9,8,1,15.8,8,1,4.9,8,1
2026/3/5,10.1,8,1,17.1,8,1,6.1,8,1
2026/3/6,9.4,8,1,14.3,8,1,4.4,8,1
2026/3/7,11.6,8,1,17.4,8,1,7.7,8,1
2026/3/8,7.5,8,1,12.1,8,1,4.1,8,1
2026/3/9,8.1,8,1,13.6,8,1,4.2,8,1
2026/3/10,4.8,8,1,8.2,8,1,2.0,8,1
2026/3/11,6.6,8,1,11.9,8,1,1.5,8,1
2026/3/12,8.2,8,1,13.4,8,1,4.8,8,1
2026/3/13,7.4,8,1,10.0,8,1,4.1,8,1
2026/3/14,9.9,8,1,16.0,8,1,6.0,8,1
2026/3/15,10.8,8,1,15.8,8,1,5.3,8,1
2026/3/16,10.1,8,1,14.1,8,1,6.9,8,1
2026/3/17,11.2,8,1,16.1,8,1,8.3,8,1
2026/3/18,13.2,8,1,16.8,8,1,9.1,8,1
2026/3/19,14.8,8,1,19.8,8,1,10.0,8,1
2026/3/20,9.1,8,1,11.2,8,1,6.5,8,1
2026/3/21,10.6,8,1,17.1,8,1,4.3,8,1
2026/3/22,11.3,8,1,17.1,8,1,5.6,8,1
2026/3/23,12.2,8,1,17.5,8,1,9.8,8,1
2026/3/24,12.8,8,1,18.1,8,1,9.2,8,1
2026/3/25,11.8,8,1,14.4,8,1,11.0,8,1
2026/3/26,11.7,8,1,13.4,8,1,10.7,8,1
2026/3/27,13.4,8,1,18.9,8,1,9.7,8,1
2026/3/28,13.9,8,1,19.6,8,1,9.6,8,1
